match_id,EndID,TeamID,ShotID,shot_type,Points,pressure_combined
0_1_1,6,27,8,Draw/Offense,3,medium
0_1_1,6,27,16,Takeout,3,medium
0_1_1,6,27,18,Draw/Offense,2,medium
0_1_1,6,27,20,Draw/Offense,3,medium
0_1_1,6,27,22,Draw/Offense,4,medium
0_1_1,7,19,8,Draw/Offense,4,very_high
0_1_1,7,19,16,Takeout,0,very_high
0_1_1,7,19,18,Takeout,0,very_high
0_1_1,7,19,20,Takeout,2,very_high
0_1_1,7,19,22,Draw/Offense,0,very_high
0_1_3,6,17,8,Draw/Offense,3,medium
0_1_3,6,17,16,Takeout,4,medium
0_1_3,6,17,18,Takeout,4,medium
0_1_3,6,17,20,Draw/Offense,4,medium
0_1_3,6,17,22,Takeout,4,medium
0_1_3,7,22,8,Draw/Offense,4,high
0_1_3,7,22,16,Draw/Offense,4,high
0_1_3,7,22,18,Takeout,4,high
0_1_3,7,22,20,Takeout,4,high
0_1_3,7,22,22,Draw/Offense,1,high
0_1_4,6,18,8,Draw/Offense,3,medium
0_1_4,6,18,16,Draw/Offense,0,medium
0_1_4,6,18,18,Takeout,0,medium
0_1_4,6,18,20,Draw/Offense,4,medium
0_1_4,6,18,22,Draw/Offense,4,medium
0_2_1,6,46,8,Draw/Offense,4,medium
0_2_1,6,46,16,Draw/Offense,3,medium
0_2_1,6,46,18,Draw/Offense,4,medium
0_2_1,6,46,20,Guard/Setup,2,medium
0_2_1,6,46,22,Draw/Offense,4,medium
0_2_1,7,43,8,Guard/Setup,0,very_high
0_2_1,7,43,16,Draw/Offense,4,very_high
0_2_1,7,43,18,Draw/Offense,2,very_high
0_2_1,7,43,20,Draw/Offense,4,very_high
0_2_1,7,43,22,Takeout,4,very_high
0_2_3,6,24,8,Draw/Offense,4,medium
0_2_3,6,24,16,Takeout,4,medium
0_2_3,6,24,18,Takeout,0,medium
0_2_3,6,24,20,Takeout,4,medium
0_2_3,6,24,22,Takeout,0,medium
0_2_4,6,10,8,Draw/Offense,4,medium
0_2_4,6,10,16,Draw/Offense,4,medium
0_2_4,6,10,18,Draw/Offense,4,medium
0_2_4,6,10,20,Draw/Offense,2,medium
0_2_4,6,10,22,Takeout,4,medium
0_2_4,7,27,8,Draw/Offense,4,very_high
0_2_4,7,27,16,Takeout,2,very_high
0_2_4,7,27,18,Draw/Offense,0,very_high
0_2_4,7,27,20,Draw/Offense,4,very_high
0_2_4,7,27,22,Draw/Offense,4,very_high
0_3_1,6,18,8,Draw/Offense,3,medium
0_3_1,6,18,16,Draw/Offense,3,medium
0_3_1,6,18,18,Draw/Offense,2,medium
0_3_1,6,18,20,Takeout,4,medium
0_3_1,6,18,22,Takeout,2,medium
0_3_2,7,20,8,Draw/Offense,4,very_high
0_3_2,7,20,16,Draw/Offense,3,very_high
0_3_2,7,20,18,Draw/Offense,4,very_high
0_3_2,7,20,20,Takeout,0,very_high
0_3_2,7,20,22,Draw/Offense,0,very_high
0_4_1,7,17,8,Draw/Offense,3,very_high
0_4_1,7,17,16,Draw/Offense,3,very_high
0_4_1,7,17,18,Takeout,4,very_high
0_4_1,7,17,20,Takeout,2,very_high
0_4_1,7,17,22,Draw/Offense,4,very_high
0_4_4,4,46,8,Draw/Offense,4,low
0_4_4,4,46,16,Takeout,2,low
0_4_4,4,46,18,Takeout,4,low
0_4_4,4,46,20,Draw/Offense,3,low
0_4_4,4,46,22,Draw/Offense,3,low
0_5_1,6,46,8,Draw/Offense,4,medium
0_5_1,6,46,16,Draw/Offense,2,medium
0_5_1,6,46,18,Draw/Offense,3,medium
0_5_1,6,46,20,Draw/Offense,3,medium
0_5_1,6,46,22,Draw/Offense,4,medium
0_5_1,7,19,8,Draw/Offense,4,very_high
0_5_1,7,19,16,Takeout,4,very_high
0_5_1,7,19,18,Draw/Offense,2,very_high
0_5_1,7,19,20,Takeout,4,very_high
0_5_1,7,19,22,Draw/Offense,4,very_high
0_5_2,6,18,8,Draw/Offense,3,medium
0_5_2,6,18,16,Draw/Offense,4,medium
0_5_2,6,18,18,Draw/Offense,0,medium
0_5_2,6,18,20,Takeout,4,medium
0_5_2,6,18,22,Draw/Offense,4,medium
0_6_1,3,22,8,Draw/Offense,4,low
0_6_1,3,22,16,Draw/Offense,0,low
0_6_1,3,22,18,Draw/Offense,4,low
0_6_1,3,22,20,Takeout,3,low
0_6_1,3,22,22,Draw/Offense,4,low
0_6_3,7,27,8,Draw/Offense,4,very_high
0_6_3,7,27,16,Draw/Offense,2,very_high
0_6_3,7,27,18,Draw/Offense,3,very_high
0_6_3,7,27,20,Draw/Offense,4,very_high
0_6_3,7,27,22,Draw/Offense,4,very_high
0_6_4,6,19,8,Draw/Offense,4,medium
0_6_4,6,19,16,Draw/Offense,0,medium
0_6_4,6,19,18,Takeout,4,medium
0_6_4,6,19,20,Draw/Offense,2,medium
0_6_4,6,19,22,Takeout,4,medium
0_6_4,7,20,8,Draw/Offense,4,very_high
0_6_4,7,20,16,Draw/Offense,0,very_high
0_6_4,7,20,18,Draw/Offense,3,very_high
0_6_4,7,20,20,Takeout,2,very_high
0_6_4,7,20,22,Takeout,4,very_high
0_7_1,6,17,8,Draw/Offense,4,medium
0_7_1,6,17,16,Takeout,4,medium
0_7_1,6,17,18,Draw/Offense,3,medium
0_7_1,6,17,20,Draw/Offense,4,medium
0_7_1,6,17,22,Takeout,4,medium
0_8_1,7,20,8,Guard/Setup,0,high
0_8_1,7,20,16,Takeout,0,high
0_8_1,7,20,18,Takeout,0,high
0_8_1,7,20,20,Takeout,4,high
0_8_1,7,20,22,Takeout,0,high
0_8_2,7,27,8,Guard/Setup,0,medium
0_8_2,7,27,16,Takeout,4,medium
0_8_2,7,27,18,Takeout,4,medium
0_8_2,7,27,20,Takeout,4,medium
0_8_2,7,27,22,Takeout,4,medium
0_8_3,5,10,8,Draw/Offense,4,low
0_8_3,5,10,16,Draw/Offense,4,low
0_8_3,5,10,18,Takeout,4,low
0_8_3,5,10,20,Takeout,0,low
0_8_3,5,10,22,Draw/Offense,4,low
0_8_4,6,46,8,Draw/Offense,3,medium
0_8_4,6,46,16,Draw/Offense,4,medium
0_8_4,6,46,18,Takeout,3,medium
0_8_4,6,46,20,Takeout,4,medium
0_8_4,6,46,22,Takeout,2,medium
0_9_1,6,27,8,Draw/Offense,3,medium
0_9_1,6,27,16,Draw/Offense,4,medium
0_9_1,6,27,18,Draw/Offense,4,medium
0_9_1,6,27,20,Draw/Offense,3,medium
0_9_1,6,27,22,Takeout,4,medium
0_9_1,7,24,8,Draw/Offense,3,very_high
0_9_1,7,24,16,Takeout,4,very_high
0_9_1,7,24,18,Takeout,2,very_high
0_9_1,7,24,20,Draw/Offense,4,very_high
0_9_1,7,24,22,Takeout,4,very_high
0_9_2,5,43,8,Draw/Offense,0,medium
0_9_2,5,43,16,Draw/Offense,3,medium
0_9_2,5,43,18,Takeout,3,medium
0_9_2,5,43,20,Draw/Offense,4,medium
0_9_2,5,43,22,Takeout,4,medium
0_10_2,5,27,8,Draw/Offense,4,medium
0_10_2,5,27,16,Takeout,4,medium
0_10_2,5,27,18,Draw/Offense,4,medium
0_10_2,5,27,20,Takeout,4,medium
0_10_2,5,27,22,Draw/Offense,4,medium
0_10_2,6,43,8,Draw/Offense,3,medium
0_10_2,6,43,16,Draw/Offense,2,medium
0_10_2,6,43,18,Takeout,2,medium
0_10_2,6,43,20,Draw/Offense,3,medium
0_10_2,6,43,22,Draw/Offense,1,medium
0_11_1,6,19,8,Draw/Offense,4,medium
0_11_1,6,19,16,Takeout,2,medium
0_11_1,6,19,18,Takeout,3,medium
0_11_1,6,19,20,Takeout,4,medium
0_11_1,6,19,22,Takeout,0,medium
0_11_2,6,46,8,Draw/Offense,4,medium
0_11_2,6,46,16,Takeout,2,medium
0_11_2,6,46,18,Draw/Offense,2,medium
0_11_2,6,46,20,Takeout,3,medium
0_11_2,6,46,22,Takeout,4,medium
0_11_2,7,18,8,Draw/Offense,4,very_high
0_11_2,7,18,16,Draw/Offense,2,very_high
0_11_2,7,18,18,Draw/Offense,2,very_high
0_11_2,7,18,20,Takeout,2,very_high
0_11_2,7,18,22,Draw/Offense,0,very_high
0_12_1,8,46,8,Guard/Setup,4,high
0_12_1,8,46,16,Takeout,2,high
0_12_1,8,46,18,Takeout,4,high
0_12_1,8,46,20,Takeout,4,high
0_12_1,8,46,22,Takeout,1,high
0_12_3,8,18,8,Guard/Setup,0,very_high
0_12_3,8,18,16,Takeout,4,very_high
0_12_3,8,18,18,Takeout,4,very_high
0_12_3,8,18,20,Takeout,4,very_high
0_12_3,8,18,22,Draw/Offense,4,very_high
0_12_4,6,27,8,Draw/Offense,3,medium
0_12_4,6,27,16,Draw/Offense,4,medium
0_12_4,6,27,18,Takeout,2,medium
0_12_4,6,27,20,Takeout,4,medium
0_12_4,6,27,22,Draw/Offense,0,medium
0_13_2,7,10,8,Draw/Offense,4,very_high
0_13_2,7,10,16,Takeout,4,very_high
0_13_2,7,10,18,Draw/Offense,4,very_high
0_13_2,7,10,20,Takeout,4,very_high
0_13_2,7,10,22,Draw/Offense,4,very_high
0_13_3,7,27,8,Draw/Offense,4,high
0_13_3,7,27,16,Draw/Offense,4,high
0_13_3,7,27,18,Takeout,4,high
0_13_3,7,27,20,Takeout,4,high
0_13_3,7,27,22,Draw/Offense,4,high
0_46_1,7,24,8,Draw/Offense,3,medium
0_46_1,7,24,16,Takeout,4,medium
0_46_1,7,24,18,Takeout,4,medium
0_46_1,7,24,20,Takeout,4,medium
0_46_1,7,24,22,Draw/Offense,4,medium
0_46_2,7,27,8,Draw/Offense,4,very_high
0_46_2,7,27,16,Draw/Offense,3,very_high
0_46_2,7,27,18,Takeout,3,very_high
0_46_2,7,27,20,Takeout,2,very_high
0_46_2,7,27,22,Draw/Offense,4,very_high
0_49_1,5,17,8,Draw/Offense,4,low
0_49_1,5,17,16,Draw/Offense,0,low
0_49_1,5,17,18,Draw/Offense,4,low
0_49_1,5,17,20,Draw/Offense,0,low
0_49_1,5,17,22,Draw/Offense,4,low
22230015_1_1,6,36,8,Guard/Setup,4,medium
22230015_1_1,6,36,16,Draw/Offense,4,medium
22230015_1_1,6,36,18,Draw/Offense,4,medium
22230015_1_1,6,36,20,Takeout,4,medium
22230015_1_1,6,36,22,Takeout,4,medium
22230015_1_1,7,44,8,Draw/Offense,4,medium
22230015_1_1,7,44,16,Takeout,4,medium
22230015_1_1,7,44,18,Takeout,4,medium
22230015_1_1,7,44,20,Takeout,4,medium
22230015_1_1,7,44,22,Takeout,4,medium
22230015_1_2,7,46,8,Draw/Offense,2,high
22230015_1_2,7,46,16,Guard/Setup,1,high
22230015_1_2,7,46,18,Draw/Offense,3,high
22230015_1_2,7,46,20,Guard/Setup,2,high
22230015_1_2,7,46,22,Draw/Offense,4,high
22230015_1_3,5,14,8,Draw/Offense,4,low
22230015_1_3,5,14,16,Draw/Offense,4,low
22230015_1_3,5,14,18,Takeout,2,low
22230015_1_3,5,14,20,Takeout,2,low
22230015_1_3,5,14,22,Takeout,4,low
22230015_1_4,6,22,8,Draw/Offense,4,medium
22230015_1_4,6,22,16,Takeout,2,medium
22230015_1_4,6,22,18,Takeout,4,medium
22230015_1_4,6,22,20,Guard/Setup,3,medium
22230015_1_4,6,22,22,Takeout,4,medium
22230015_1_5,6,37,8,Draw/Offense,4,medium
22230015_1_5,6,37,16,Draw/Offense,4,medium
22230015_1_5,6,37,18,Takeout,4,medium
22230015_1_5,6,37,20,Draw/Offense,2,medium
22230015_1_5,6,37,22,Draw/Offense,4,medium
22230015_1_5,8,11,8,Guard/Setup,0,very_high
22230015_1_5,8,11,16,Takeout,2,very_high
22230015_1_5,8,11,18,Takeout,4,very_high
22230015_1_5,8,11,20,Takeout,3,very_high
22230015_1_5,8,11,22,Draw/Offense,4,very_high
22230015_2_2,7,34,8,Draw/Offense,4,medium
22230015_2_2,7,34,16,Takeout,2,medium
22230015_2_2,7,34,18,Draw/Offense,3,medium
22230015_2_2,7,34,20,Takeout,1,medium
22230015_2_2,7,34,22,Takeout,4,medium
22230015_2_4,7,28,8,Draw/Offense,4,very_high
22230015_2_4,7,28,16,Draw/Offense,4,very_high
22230015_2_4,7,28,18,Takeout,2,very_high
22230015_2_4,7,28,20,Draw/Offense,4,very_high
22230015_2_4,7,28,22,Draw/Offense,0,very_high
22230015_3_1,5,24,8,Guard/Setup,3,low
22230015_3_1,5,24,16,Draw/Offense,3,low
22230015_3_1,5,24,18,Draw/Offense,3,low
22230015_3_1,5,24,20,Takeout,3,low
22230015_3_1,5,24,22,Draw/Offense,0,low
22230015_3_2,5,36,8,Draw/Offense,4,low
22230015_3_2,5,36,16,Draw/Offense,2,low
22230015_3_2,5,36,18,Draw/Offense,2,low
22230015_3_2,5,36,20,Draw/Offense,3,low
22230015_3_2,5,36,22,Draw/Offense,4,low
22230015_3_3,8,44,8,Draw/Offense,4,high
22230015_3_3,8,44,16,Takeout,4,high
22230015_3_3,8,44,18,Draw/Offense,3,high
22230015_3_3,8,44,20,Draw/Offense,3,high
22230015_3_3,8,44,22,Takeout,0,high
22230015_4_1,5,51,8,Draw/Offense,3,medium
22230015_4_1,5,51,16,Takeout,4,medium
22230015_4_1,5,51,18,Draw/Offense,0,medium
22230015_4_1,5,51,20,Draw/Offense,3,medium
22230015_4_1,5,51,22,Takeout,0,medium
22230015_4_2,7,15,8,Draw/Offense,4,medium
22230015_4_2,7,15,16,Takeout,2,medium
22230015_4_2,7,15,18,Takeout,4,medium
22230015_4_2,7,15,20,Draw/Offense,3,medium
22230015_4_2,7,15,22,Takeout,4,medium
22230015_4_3,6,16,8,Draw/Offense,3,medium
22230015_4_3,6,16,16,Takeout,4,medium
22230015_4_3,6,16,18,Draw/Offense,4,medium
22230015_4_3,6,16,20,Draw/Offense,4,medium
22230015_4_3,6,16,22,Draw/Offense,4,medium
22230015_5_1,6,25,8,Draw/Offense,1,medium
22230015_5_1,6,25,16,Draw/Offense,2,medium
22230015_5_1,6,25,18,Draw/Offense,1,medium
22230015_5_1,6,25,20,Takeout,1,medium
22230015_5_1,6,25,22,Draw/Offense,4,medium
22230015_5_1,7,14,8,Draw/Offense,4,high
22230015_5_1,7,14,16,Takeout,4,high
22230015_5_1,7,14,18,Takeout,4,high
22230015_5_1,7,14,20,Draw/Offense,2,high
22230015_5_1,7,14,22,Takeout,3,high
22230015_5_2,7,44,8,Draw/Offense,4,medium
22230015_5_2,7,44,16,Draw/Offense,4,medium
22230015_5_2,7,44,18,Draw/Offense,4,medium
22230015_5_2,7,44,20,Draw/Offense,4,medium
22230015_5_2,7,44,22,Draw/Offense,4,medium
22230015_5_2,8,11,8,Guard/Setup,2,high
22230015_5_2,8,11,16,Takeout,4,high
22230015_5_2,8,11,18,Draw/Offense,0,high
22230015_5_2,8,11,20,Draw/Offense,2,high
22230015_5_2,8,11,22,Draw/Offense,4,high
22230015_5_3,6,36,8,Draw/Offense,0,medium
22230015_5_3,6,36,16,Draw/Offense,1,medium
22230015_5_3,6,36,18,Draw/Offense,1,medium
22230015_5_3,6,36,20,Draw/Offense,3,medium
22230015_5_3,6,36,22,Draw/Offense,4,medium
22230015_5_4,7,37,8,Draw/Offense,3,very_high
22230015_5_4,7,37,16,Draw/Offense,1,very_high
22230015_5_4,7,37,18,Takeout,2,very_high
22230015_5_4,7,37,20,Takeout,4,very_high
22230015_5_4,7,37,22,Draw/Offense,4,very_high
22230015_5_5,6,22,8,Draw/Offense,2,medium
22230015_5_5,6,22,16,Takeout,4,medium
22230015_5_5,6,22,18,Draw/Offense,0,medium
22230015_5_5,6,22,20,Draw/Offense,4,medium
22230015_5_5,6,22,22,Takeout,2,medium
22230015_6_2,7,16,8,Guard/Setup,1,high
22230015_6_2,7,16,16,Takeout,4,high
22230015_6_2,7,16,18,Takeout,4,high
22230015_6_2,7,16,20,Takeout,2,high
22230015_6_2,7,16,22,Takeout,2,high
22230015_6_3,4,15,8,Guard/Setup,4,low
22230015_6_3,4,15,16,Draw/Offense,4,low
22230015_6_3,4,15,18,Guard/Setup,4,low
22230015_6_3,4,15,20,Draw/Offense,3,low
22230015_6_3,4,15,22,Draw/Offense,4,low
22230015_6_3,7,51,8,Draw/Offense,4,high
22230015_6_3,7,51,16,Takeout,2,high
22230015_6_3,7,51,18,Takeout,2,high
22230015_6_3,7,51,20,Takeout,4,high
22230015_6_3,7,51,22,Takeout,4,high
22230015_7_1,6,37,8,Draw/Offense,2,medium
22230015_7_1,6,37,16,Takeout,2,medium
22230015_7_1,6,37,18,Takeout,4,medium
22230015_7_1,6,37,20,Draw/Offense,2,medium
22230015_7_1,6,37,22,Takeout,4,medium
22230015_7_3,6,46,8,Draw/Offense,4,medium
22230015_7_3,6,46,16,Draw/Offense,4,medium
22230015_7_3,6,46,18,Draw/Offense,0,medium
22230015_7_3,6,46,20,Draw/Offense,3,medium
22230015_7_3,6,46,22,Takeout,4,medium
22230015_7_4,5,44,8,Draw/Offense,4,low
22230015_7_4,5,44,16,Guard/Setup,4,low
22230015_7_4,5,44,18,Draw/Offense,4,low
22230015_7_4,5,44,20,Draw/Offense,3,low
22230015_7_4,5,44,22,Draw/Offense,4,low
22230015_7_5,4,36,8,Draw/Offense,4,low
22230015_7_5,4,36,16,Draw/Offense,0,low
22230015_7_5,4,36,18,Draw/Offense,4,low
22230015_7_5,4,36,20,Draw/Offense,3,low
22230015_7_5,4,36,22,Takeout,4,low
22230015_8_2,7,51,8,Draw/Offense,4,very_high
22230015_8_2,7,51,16,Takeout,4,very_high
22230015_8_2,7,51,18,Draw/Offense,0,very_high
22230015_8_2,7,51,20,Draw/Offense,2,very_high
22230015_8_2,7,51,22,Draw/Offense,4,very_high
22230015_8_4,5,16,8,Draw/Offense,3,medium
22230015_8_4,5,16,16,Draw/Offense,2,medium
22230015_8_4,5,16,18,Draw/Offense,1,medium
22230015_8_4,5,16,20,Takeout,4,medium
22230015_8_4,5,16,22,Draw/Offense,4,medium
22230015_8_5,7,15,8,Draw/Offense,2,medium
22230015_8_5,7,15,16,Draw/Offense,3,medium
22230015_8_5,7,15,18,Takeout,0,medium
22230015_8_5,7,15,20,Takeout,3,medium
22230015_8_5,7,15,22,Takeout,2,medium
22230015_9_1,5,46,8,Draw/Offense,3,medium
22230015_9_1,5,46,16,Draw/Offense,1,medium
22230015_9_1,5,46,18,Draw/Offense,3,medium
22230015_9_1,5,46,20,Takeout,3,medium
22230015_9_1,5,46,22,Takeout,2,medium
22230015_9_2,5,36,8,Draw/Offense,3,low
22230015_9_2,5,36,16,Draw/Offense,3,low
22230015_9_2,5,36,18,Draw/Offense,3,low
22230015_9_2,5,36,20,Takeout,2,low
22230015_9_2,5,36,22,Draw/Offense,4,low
22230015_9_3,7,44,8,Draw/Offense,4,high
22230015_9_3,7,44,16,Draw/Offense,1,high
22230015_9_3,7,44,18,Takeout,2,high
22230015_9_3,7,44,20,Draw/Offense,4,high
22230015_9_3,7,44,22,Takeout,4,high
22230015_9_5,6,24,8,Draw/Offense,4,medium
22230015_9_5,6,24,16,Draw/Offense,0,medium
22230015_9_5,6,24,18,Draw/Offense,2,medium
22230015_9_5,6,24,20,Draw/Offense,4,medium
22230015_9_5,6,24,22,Draw/Offense,4,medium
22230015_9_5,7,14,8,Draw/Offense,0,medium
22230015_9_5,7,14,16,Takeout,4,medium
22230015_9_5,7,14,18,Takeout,0,medium
22230015_9_5,7,14,20,Takeout,2,medium
22230015_9_5,7,14,22,Draw/Offense,4,medium
22230015_10_1,7,18,8,Draw/Offense,3,medium
22230015_10_1,7,18,16,Draw/Offense,2,medium
22230015_10_1,7,18,18,Draw/Offense,4,medium
22230015_10_1,7,18,20,Draw/Offense,3,medium
22230015_10_1,7,18,22,Draw/Offense,4,medium
22230015_10_3,7,16,8,Guard/Setup,4,medium
22230015_10_3,7,16,16,Takeout,4,medium
22230015_10_3,7,16,18,Takeout,4,medium
22230015_10_3,7,16,20,Takeout,4,medium
22230015_10_3,7,16,22,Draw/Offense,4,medium
22230015_10_4,6,34,8,Draw/Offense,3,medium
22230015_10_4,6,34,16,Draw/Offense,4,medium
22230015_10_4,6,34,18,Draw/Offense,0,medium
22230015_10_4,6,34,20,Draw/Offense,2,medium
22230015_10_4,6,34,22,Draw/Offense,4,medium
22230015_10_5,7,23,8,Draw/Offense,4,medium
22230015_10_5,7,23,16,Draw/Offense,4,medium
22230015_10_5,7,23,18,Takeout,2,medium
22230015_10_5,7,23,20,Draw/Offense,1,medium
22230015_10_5,7,23,22,Draw/Offense,0,medium
22230015_11_2,6,46,8,Guard/Setup,4,medium
22230015_11_2,6,46,16,Draw/Offense,4,medium
22230015_11_2,6,46,18,Takeout,3,medium
22230015_11_2,6,46,20,Takeout,3,medium
22230015_11_2,6,46,22,Draw/Offense,4,medium
22230015_11_2,7,44,8,Guard/Setup,4,very_high
22230015_11_2,7,44,16,Takeout,4,very_high
22230015_11_2,7,44,18,Takeout,3,very_high
22230015_11_2,7,44,20,Takeout,2,very_high
22230015_11_2,7,44,22,Takeout,4,very_high
22230015_11_5,7,36,8,Draw/Offense,1,very_high
22230015_11_5,7,36,16,Draw/Offense,0,very_high
22230015_11_5,7,36,18,Takeout,4,very_high
22230015_11_5,7,36,20,Takeout,1,very_high
22230015_11_5,7,36,22,Draw/Offense,4,very_high
22230015_12_1,5,23,8,Draw/Offense,4,low
22230015_12_1,5,23,16,Draw/Offense,4,low
22230015_12_1,5,23,18,Draw/Offense,0,low
22230015_12_1,5,23,20,Draw/Offense,1,low
22230015_12_1,5,23,22,Draw/Offense,4,low
22230015_12_2,8,16,8,Draw/Offense,2,very_high
22230015_12_2,8,16,16,Takeout,4,very_high
22230015_12_2,8,16,18,Takeout,3,very_high
22230015_12_2,8,16,20,Draw/Offense,4,very_high
22230015_12_2,8,16,22,Takeout,4,very_high
22230015_12_3,6,34,8,Draw/Offense,4,medium
22230015_12_3,6,34,16,Draw/Offense,4,medium
22230015_12_3,6,34,18,Draw/Offense,2,medium
22230015_12_3,6,34,20,Draw/Offense,4,medium
22230015_12_3,6,34,22,Draw/Offense,4,medium
22230015_12_3,7,51,8,Draw/Offense,4,medium
22230015_12_3,7,51,16,Draw/Offense,2,medium
22230015_12_3,7,51,18,Takeout,3,medium
22230015_12_3,7,51,20,Draw/Offense,3,medium
22230015_12_3,7,51,22,Takeout,4,medium
22230015_13_1,6,25,8,Draw/Offense,3,medium
22230015_13_1,6,25,16,Draw/Offense,3,medium
22230015_13_1,6,25,18,Draw/Offense,4,medium
22230015_13_1,6,25,20,Takeout,4,medium
22230015_13_1,6,25,22,Takeout,4,medium
22230015_13_1,7,22,8,Draw/Offense,4,high
22230015_13_1,7,22,16,Takeout,0,high
22230015_13_1,7,22,18,Draw/Offense,2,high
22230015_13_1,7,22,20,Takeout,2,high
22230015_13_1,7,22,22,Takeout,4,high
22230015_13_3,6,36,8,Guard/Setup,4,medium
22230015_13_3,6,36,16,Draw/Offense,2,medium
22230015_13_3,6,36,18,Takeout,2,medium
22230015_13_3,6,36,20,Takeout,3,medium
22230015_13_3,6,36,22,Takeout,4,medium
22230015_13_3,7,14,8,Guard/Setup,4,medium
22230015_13_3,7,14,16,Takeout,3,medium
22230015_13_3,7,14,18,Takeout,4,medium
22230015_13_3,7,14,20,Takeout,4,medium
22230015_13_3,7,14,22,Draw/Offense,0,medium
22230015_14_1,6,34,8,Draw/Offense,4,medium
22230015_14_1,6,34,16,Takeout,4,medium
22230015_14_1,6,34,18,Draw/Offense,3,medium
22230015_14_1,6,34,20,Draw/Offense,4,medium
22230015_14_1,6,34,22,Draw/Offense,4,medium
22230015_14_2,7,18,8,Draw/Offense,2,very_high
22230015_14_2,7,18,16,Draw/Offense,4,very_high
22230015_14_2,7,18,18,Takeout,3,very_high
22230015_14_2,7,18,20,Takeout,3,very_high
22230015_14_2,7,18,22,Draw/Offense,4,very_high
22230015_14_3,3,23,8,Guard/Setup,4,medium
22230015_14_3,3,23,16,Draw/Offense,3,medium
22230015_14_3,3,23,18,Draw/Offense,2,medium
22230015_14_3,3,23,20,Draw/Offense,2,medium
22230015_14_3,3,23,22,Draw/Offense,4,medium
22230015_14_3,7,15,8,Guard/Setup,2,medium
22230015_14_3,7,15,16,Takeout,4,medium
22230015_14_3,7,15,18,Takeout,4,medium
22230015_14_3,7,15,20,Takeout,4,medium
22230015_14_3,7,15,22,Draw/Offense,4,medium
22230015_14_5,6,51,8,Draw/Offense,2,medium
22230015_14_5,6,51,16,Draw/Offense,2,medium
22230015_14_5,6,51,18,Draw/Offense,2,medium
22230015_14_5,6,51,20,Draw/Offense,4,medium
22230015_14_5,6,51,22,Draw/Offense,4,medium
22230015_14_5,7,16,8,Draw/Offense,2,high
22230015_14_5,7,16,16,Draw/Offense,4,high
22230015_14_5,7,16,18,Takeout,4,high
22230015_14_5,7,16,20,Takeout,2,high
22230015_14_5,7,16,22,Draw/Offense,4,high
22230015_15_1,7,36,8,Draw/Offense,3,very_high
22230015_15_1,7,36,16,Draw/Offense,4,very_high
22230015_15_1,7,36,18,Takeout,3,very_high
22230015_15_1,7,36,20,Takeout,4,very_high
22230015_15_1,7,36,22,Draw/Offense,4,very_high
22230015_15_1,8,10,8,Draw/Offense,4,high
22230015_15_1,8,10,16,Draw/Offense,4,high
22230015_15_1,8,10,18,Draw/Offense,4,high
22230015_15_1,8,10,20,Takeout,4,high
22230015_15_1,8,10,22,Draw/Offense,4,high
22230015_15_2,6,37,8,Draw/Offense,4,medium
22230015_15_2,6,37,16,Draw/Offense,3,medium
22230015_15_2,6,37,18,Draw/Offense,4,medium
22230015_15_2,6,37,20,Takeout,4,medium
22230015_15_2,6,37,22,Draw/Offense,4,medium
22230015_15_3,7,22,8,Draw/Offense,4,very_high
22230015_15_3,7,22,16,Takeout,4,very_high
22230015_15_3,7,22,18,Draw/Offense,4,very_high
22230015_15_3,7,22,20,Draw/Offense,1,very_high
22230015_15_3,7,22,22,Takeout,4,very_high
22230015_15_5,7,14,8,Takeout,4,high
22230015_15_5,7,14,16,Takeout,4,high
22230015_15_5,7,14,18,Takeout,4,high
22230015_15_5,7,14,20,Draw/Offense,3,high
22230015_15_5,7,14,22,Draw/Offense,4,high
22230015_16_1,8,15,8,Draw/Offense,3,high
22230015_16_1,8,15,16,Draw/Offense,2,high
22230015_16_1,8,15,18,Takeout,3,high
22230015_16_1,8,15,20,Draw/Offense,3,high
22230015_16_1,8,15,22,Draw/Offense,0,high
22230015_16_2,4,51,8,Draw/Offense,4,low
22230015_16_2,4,51,16,Guard/Setup,4,low
22230015_16_2,4,51,18,Draw/Offense,4,low
22230015_16_2,4,51,20,Draw/Offense,3,low
22230015_16_2,4,51,22,Takeout,4,low
22230015_16_2,7,20,8,Draw/Offense,4,very_high
22230015_16_2,7,20,16,Draw/Offense,4,very_high
22230015_16_2,7,20,18,Takeout,4,very_high
22230015_16_2,7,20,20,Draw/Offense,2,very_high
22230015_16_2,7,20,22,Draw/Offense,4,very_high
